datetime,Ens0,Ens1,Ens2,Ens3,Ens4,Ens5,Ens6,Ens7,Ens8,Ens9,Ens10,Ens11,Ens12,Ens13,Ens14,Ens15,Ens16,Ens17,Ens18,Ens19,Ens20,Ens21,Ens22,Ens23,Ens24,Ens25,Ens26,Ens27,Ens28,Ens29,Ens30,Ens31,Ens32,Ens33,Ens34,Ens35,Ens36,Ens37,Ens38,Ens39,Ens40,Ens41,Ens42,Ens43,Ens44,Ens45,Ens46,Ens47,Ens48,Ens49,Ens50
2023-09-13,4571.6552734375,4571.6552734375,4571.6552734375,4571.6552734375,4571.6552734375,4571.6552734375,4571.6552734375,4571.6552734375,4571.6552734375,4571.6552734375,4571.6552734375,4571.6552734375,4571.6552734375,4571.6552734375,4571.6552734375,4571.6552734375,4571.6552734375,4571.6552734375,4571.6552734375,4571.6552734375,4571.6552734375,4571.6552734375,4571.6552734375,4571.6552734375,4571.6552734375,4571.6552734375,4571.6552734375,4571.6552734375,4571.6552734375,4571.6552734375,4571.6552734375,4571.6552734375,4571.6552734375,4571.6552734375,4571.6552734375,4571.6552734375,4571.6552734375,4571.6552734375,4571.6552734375,4571.6552734375,4571.6552734375,4571.6552734375,4571.6552734375,4571.6552734375,4571.6552734375,4571.6552734375,4571.6552734375,4571.6552734375,4571.6552734375,4571.6552734375,4571.6552734375
2023-09-14,4593.00537109375,4593.99169921875,4592.88427734375,4592.7919921875,4593.45751953125,4593.35107421875,4593.4462890625,4592.74462890625,4593.5322265625,4593.54345703125,4593.54638671875,4593.39990234375,4592.29345703125,4593.001953125,4592.7626953125,4592.77294921875,4593.04443359375,4593.2158203125,4593.162109375,4592.87744140625,4593.333984375,4593.36083984375,4592.77392578125,4593.4462890625,4593.22607421875,4593.1318359375,4592.755859375,4592.62939453125,4593.20166015625,4592.78759765625,4592.66650390625,4592.9140625,4593.23193359375,4594.06591796875,4592.4892578125,4592.6435546875,4593.91162109375,4592.8095703125,4592.74169921875,4593.1298828125,4594.03515625,4593.05078125,4592.98388671875,4593.056640625,4592.92529296875,4593.0341796875,4592.9541015625,4593.21826171875,4592.78271484375,4592.97265625,4593.70458984375
2023-09-15,4588.140625,4587.82763671875,4587.24853515625,4587.3505859375,4591.13232421875,4587.70556640625,4588.03271484375,4587.37548828125,4588.8544921875,4589.89794921875,4600.125,4588.70947265625,4586.9833984375,4589.8671875,4586.85595703125,4589.31201171875,4588.2578125,4592.43310546875,4587.8564453125,4596.05224609375,4587.66064453125,4598.38671875,4588.42431640625,4587.65576171875,4588.1171875,4587.083984375,4591.3056640625,4587.5224609375,4589.166015625,4594.208984375,4586.7548828125,4592.994140625,4588.1865234375,4591.74365234375,4586.59130859375,4586.22216796875,4588.31298828125,4587.4921875,4588.52734375,4586.7197265625,4589.73828125,4590.080078125,4591.76123046875,4587.7041015625,4591.189453125,4602.515625,4587.9208984375,4588.18798828125,4591.56005859375,4588.29541015625,4587.39306640625
2023-09-16,4554.75,4553.89404296875,4555.4755859375,4554.63623046875,4556.8671875,4556.40673828125,4553.9638671875,4553.87158203125,4556.6103515625,4558.56640625,4569.4365234375,4557.4892578125,4554.40478515625,4558.3193359375,4552.43701171875,4557.57666015625,4557.3154296875,4563.98046875,4554.48583984375,4563.94775390625,4552.04833984375,4574.63818359375,4556.33544921875,4552.87060546875,4561.45556640625,4553.52197265625,4559.24072265625,4554.572265625,4554.42822265625,4565.9091796875,4557.16943359375,4566.51953125,4556.4189453125,4562.9912109375,4553.69677734375,4553.62744140625,4555.13916015625,4555.634765625,4557.06640625,4556.248046875,4556.76220703125,4561.6083984375,4561.8916015625,4553.11572265625,4562.9365234375,4579.9697265625,4555.12841796875,4554.7490234375,4562.63623046875,4556.65380859375,4552.32666015625
2023-09-17,4503.25537109375,4505.27734375,4505.123046875,4503.90966796875,4506.86669921875,4511.03369140625,4502.52880859375,4501.7431640625,4510.96826171875,4505.61328125,4519.6943359375,4506.83349609375,4503.59423828125,4504.45556640625,4500.01904296875,4505.25048828125,4505.9306640625,4522.7998046875,4503.6826171875,4512.201171875,4503.60009765625,4522.896484375,4506.51220703125,4500.525390625,4515.123046875,4504.31787109375,4506.8076171875,4503.205078125,4501.76123046875,4514.978515625,4513.1484375,4511.72998046875,4511.97119140625,4516.4423828125,4501.66796875,4504.47705078125,4503.076171875,4504.9228515625,4505.98095703125,4513.1865234375,4507.15185546875,4508.70703125,4514.62744140625,4500.21875,4509.9521484375,4526.6201171875,4506.64111328125,4505.08740234375,4517.375,4504.9619140625,4501.5458984375
2023-09-18,4441.52783203125,4444.02197265625,4442.04736328125,4440.28369140625,4445.78515625,4453.0751953125,4437.47705078125,4441.466796875,4459.673828125,4440.4853515625,4457.5927734375,4442.0478515625,4441.2626953125,4438.53759765625,4441.85791015625,4439.31103515625,4443.09228515625,4472.4208984375,4443.19873046875,4451.7060546875,4440.826171875,4457.46484375,4446.6748046875,4437.8720703125,4448.13330078125,4449.2841796875,4440.02880859375,4438.6328125,4440.05126953125,4450.04443359375,4459.66357421875,4447.54736328125,4457.70068359375,4462.57177734375,4437.0283203125,4445.71044921875,4440.93359375,4441.162109375,4442.6806640625,4454.55517578125,4445.5087890625,4444.48046875,4458.0458984375,4435.68359375,4445.27392578125,4463.76904296875,4447.47412109375,4444.82421875,4466.21484375,4441.3505859375,4444.578125
2023-09-19,4370.015625,4367.2900390625,4368.34423828125,4364.23779296875,4375.73974609375,4382.47900390625,4362.66357421875,4378.2333984375,4396.896484375,4364.7841796875,4390.638671875,4369.15576171875,4368.1904296875,4359.8271484375,4378.7607421875,4361.11181640625,4374.3046875,4395.72998046875,4367.158203125,4386.43896484375,4367.9130859375,4379.849609375,4376.2822265625,4361.265625,4369.275390625,4386.953125,4360.63720703125,4362.1162109375,4368.89111328125,4373.17578125,4384.16064453125,4372.3857421875,4392.70654296875,4409.42138671875,4360.72412109375,4376.990234375,4366.53369140625,4367.45556640625,4365.2802734375,4383.29833984375,4371.751953125,4371.076171875,4392.431640625,4361.06103515625,4370.74560546875,4389.00830078125,4371.6005859375,4375.90625,4395.10302734375,4369.515625,4377.52734375
2023-09-20,4292.544921875,4290.73974609375,4289.4755859375,4279.83349609375,4306.005859375,4306.767578125,4290.173828125,4304.2763671875,4334.54150390625,4287.67529296875,4318.97509765625,4294.5439453125,4286.17919921875,4272.275390625,4316.80908203125,4277.3359375,4307.060546875,4310.28173828125,4280.330078125,4325.0048828125,4292.5888671875,4293.46240234375,4299.06884765625,4268.87353515625,4283.8994140625,4318.95751953125,4281.72119140625,4280.4541015625,4296.48486328125,4299.9140625,4301.42041015625,4287.931640625,4319.4541015625,4341.0927734375,4283.37646484375,4301.45361328125,4290.2890625,4289.46826171875,4287.75732421875,4306.9599609375,4288.65283203125,4306.73486328125,4317.91357421875,4278.07763671875,4299.9775390625,4305.03662109375,4289.8037109375,4302.24267578125,4313.36376953125,4300.41650390625,4304.849609375
2023-09-21,4217.2841796875,4201.916015625,4217.59765625,4199.529296875,4239.75146484375,4243.42724609375,4221.84619140625,4226.67822265625,4279.29248046875,4219.02490234375,4247.33203125,4211.58544921875,4203.82568359375,4180.87890625,4258.5576171875,4198.9765625,4248.77392578125,4235.41357421875,4195.84033203125,4274.4521484375,4220.6611328125,4207.93115234375,4227.36376953125,4183.58837890625,4200.28125,4253.2646484375,4206.11865234375,4204.8291015625,4233.923828125,4226.263671875,4224.63720703125,4208.07421875,4252.68798828125,4287.26025390625,4208.650390625,4229.736328125,4219.26220703125,4220.83154296875,4212.75,4237.486328125,4207.36279296875,4254.05322265625,4230.2255859375,4207.46875,4245.24755859375,4222.23046875,4229.7568359375,4234.3681640625,4241.8935546875,4242.10498046875,4247.3349609375
2023-09-22,4154.62646484375,4111.306640625,4160.83056640625,4138.06201171875,4193.17138671875,4209.0087890625,4170.4599609375,4163.34033203125,4221.6435546875,4174.533203125,4185.57373046875,4136.7734375,4133.1357421875,4097.08056640625,4213.78515625,4140.46142578125,4204.44775390625,4178.26513671875,4124.64501953125,4235.2646484375,4167.24169921875,4125.52734375,4168.91943359375,4094.690673828125,4128.982421875,4195.92578125,4138.98291015625,4144.09423828125,4185.59228515625,4162.84716796875,4165.9052734375,4141.44775390625,4198.564453125,4251.27880859375,4149.6083984375,4170.8349609375,4156.41552734375,4188.08740234375,4150.185546875,4181.50830078125,4138.197265625,4209.091796875,4142.33349609375,4149.404296875,4192.56884765625,4154.36328125,4180.72998046875,4185.74169921875,4193.9130859375,4203.38818359375,4198.00634765625
